dataset,resource,column,field
national-nature-reserve,,REFERENCE,reference
national-nature-reserve,,NNR_NAME,name
national-nature-reserve,,STATUS,nature-reserve-status
national-nature-reserve,,WKT,geometry
national-nature-reserve,,GIS_DATE,entry-date
