prefix,resource,organisation,reference,entity
national-nature-reserve,,government-organisation:PB202,TG489208,45000000
national-nature-reserve,,government-organisation:PB202,SJ772204,45000001
national-nature-reserve,,government-organisation:PB202,SJ772204,45000002
national-nature-reserve,,government-organisation:PB202,TL088297,45000003
national-nature-reserve,,government-organisation:PB202,SU603226,45000004
national-nature-reserve,,government-organisation:PB202,TL041995,45000005
national-nature-reserve,,government-organisation:PB202,SX941564,45000006
national-nature-reserve,,government-organisation:PB202,SX941564,45000007
national-nature-reserve,,government-organisation:PB202,SX941564,45000008
national-nature-reserve,,government-organisation:PB202,SX941564,45000009
national-nature-reserve,,government-organisation:PB202,SX941564,45000010
national-nature-reserve,,government-organisation:PB202,TL978124,45000011
national-nature-reserve,,government-organisation:PB202,TL978124,45000012
national-nature-reserve,,government-organisation:PB202,TL978124,45000013
national-nature-reserve,,government-organisation:PB202,TL978124,45000014
national-nature-reserve,,government-organisation:PB202,TL978124,45000015
national-nature-reserve,,government-organisation:PB202,TL978124,45000016
national-nature-reserve,,government-organisation:PB202,TL978124,45000017
national-nature-reserve,,government-organisation:PB202,TL978124,45000018
national-nature-reserve,,government-organisation:PB202,TL978124,45000019
national-nature-reserve,,government-organisation:PB202,TL978124,45000020
national-nature-reserve,,government-organisation:PB202,TL978124,45000021
national-nature-reserve,,government-organisation:PB202,TL978124,45000022
national-nature-reserve,,government-organisation:PB202,TL978124,45000023
national-nature-reserve,,government-organisation:PB202,TL978124,45000024
national-nature-reserve,,government-organisation:PB202,TL978124,45000025
national-nature-reserve,,government-organisation:PB202,TL978124,45000026
national-nature-reserve,,government-organisation:PB202,TL978124,45000027
national-nature-reserve,,government-organisation:PB202,TL978124,45000028
national-nature-reserve,,government-organisation:PB202,TL978124,45000029
national-nature-reserve,,government-organisation:PB202,TL978124,45000030
national-nature-reserve,,government-organisation:PB202,TL978124,45000031
national-nature-reserve,,government-organisation:PB202,TL978124,45000032
national-nature-reserve,,government-organisation:PB202,TL978124,45000033
national-nature-reserve,,government-organisation:PB202,TL978124,45000034
national-nature-reserve,,government-organisation:PB202,TL978124,45000035
national-nature-reserve,,government-organisation:PB202,TL978124,45000036
national-nature-reserve,,government-organisation:PB202,TL978124,45000037
national-nature-reserve,,government-organisation:PB202,TL978124,45000038
national-nature-reserve,,government-organisation:PB202,TL978124,45000039
national-nature-reserve,,government-organisation:PB202,TL978124,45000040
national-nature-reserve,,government-organisation:PB202,TL978124,45000041
national-nature-reserve,,government-organisation:PB202,TL978124,45000042
national-nature-reserve,,government-organisation:PB202,TL978124,45000043
national-nature-reserve,,government-organisation:PB202,TL978124,45000044
national-nature-reserve,,government-organisation:PB202,TL978124,45000045
national-nature-reserve,,government-organisation:PB202,TL978124,45000046
national-nature-reserve,,government-organisation:PB202,TL978124,45000047
national-nature-reserve,,government-organisation:PB202,TL978124,45000048
national-nature-reserve,,government-organisation:PB202,TL978124,45000049
national-nature-reserve,,government-organisation:PB202,TL978124,45000050
national-nature-reserve,,government-organisation:PB202,TL978124,45000051
national-nature-reserve,,government-organisation:PB202,TL978124,45000052
national-nature-reserve,,government-organisation:PB202,TL978124,45000053
national-nature-reserve,,government-organisation:PB202,TL978124,45000054
national-nature-reserve,,government-organisation:PB202,TL978124,45000055
national-nature-reserve,,government-organisation:PB202,TL978124,45000056
national-nature-reserve,,government-organisation:PB202,TL978124,45000057
national-nature-reserve,,government-organisation:PB202,TL978124,45000058
national-nature-reserve,,government-organisation:PB202,TL978124,45000059
national-nature-reserve,,government-organisation:PB202,TL978124,45000060
national-nature-reserve,,government-organisation:PB202,TL978124,45000061
national-nature-reserve,,government-organisation:PB202,TL978124,45000062
national-nature-reserve,,government-organisation:PB202,TL978124,45000063
national-nature-reserve,,government-organisation:PB202,TL978124,45000064
national-nature-reserve,,government-organisation:PB202,TL978124,45000065
national-nature-reserve,,government-organisation:PB202,TL978124,45000066
national-nature-reserve,,government-organisation:PB202,TL978124,45000067
national-nature-reserve,,government-organisation:PB202,TL978124,45000068
national-nature-reserve,,government-organisation:PB202,TL978124,45000069
national-nature-reserve,,government-organisation:PB202,TL978124,45000070
national-nature-reserve,,government-organisation:PB202,TL978124,45000071
national-nature-reserve,,government-organisation:PB202,TL978124,45000072
national-nature-reserve,,government-organisation:PB202,TL978124,45000073
national-nature-reserve,,government-organisation:PB202,TL978124,45000074
national-nature-reserve,,government-organisation:PB202,TL978124,45000075
national-nature-reserve,,government-organisation:PB202,TL978124,45000076
national-nature-reserve,,government-organisation:PB202,TL978124,45000077
national-nature-reserve,,government-organisation:PB202,TL978124,45000078
national-nature-reserve,,government-organisation:PB202,TL978124,45000079
national-nature-reserve,,government-organisation:PB202,TL978124,45000080
national-nature-reserve,,government-organisation:PB202,TL978124,45000081
national-nature-reserve,,government-organisation:PB202,TL978124,45000082
national-nature-reserve,,government-organisation:PB202,TL978124,45000083
national-nature-reserve,,government-organisation:PB202,TL978124,45000084
national-nature-reserve,,government-organisation:PB202,TL978124,45000085
national-nature-reserve,,government-organisation:PB202,TL978124,45000086
national-nature-reserve,,government-organisation:PB202,TL978124,45000087
national-nature-reserve,,government-organisation:PB202,TL978124,45000088
national-nature-reserve,,government-organisation:PB202,TL978124,45000089
national-nature-reserve,,government-organisation:PB202,TL978124,45000090
national-nature-reserve,,government-organisation:PB202,TL978124,45000091
national-nature-reserve,,government-organisation:PB202,TL978124,45000092
national-nature-reserve,,government-organisation:PB202,TL978124,45000093
national-nature-reserve,,government-organisation:PB202,TL978124,45000094
national-nature-reserve,,government-organisation:PB202,TL978124,45000095
national-nature-reserve,,government-organisation:PB202,TL978124,45000096
national-nature-reserve,,government-organisation:PB202,TL978124,45000097
national-nature-reserve,,government-organisation:PB202,TL978124,45000098
national-nature-reserve,,government-organisation:PB202,TL978124,45000099
national-nature-reserve,,government-organisation:PB202,TL978124,45000100
national-nature-reserve,,government-organisation:PB202,TL978124,45000101
national-nature-reserve,,government-organisation:PB202,TL978124,45000102
national-nature-reserve,,government-organisation:PB202,TL978124,45000103
national-nature-reserve,,government-organisation:PB202,TL978124,45000104
national-nature-reserve,,government-organisation:PB202,TL978124,45000105
national-nature-reserve,,government-organisation:PB202,TL978124,45000106
national-nature-reserve,,government-organisation:PB202,TL978124,45000107
national-nature-reserve,,government-organisation:PB202,TL978124,45000108
national-nature-reserve,,government-organisation:PB202,TL978124,45000109
national-nature-reserve,,government-organisation:PB202,TL978124,45000110
national-nature-reserve,,government-organisation:PB202,TL978124,45000111
national-nature-reserve,,government-organisation:PB202,TL978124,45000112
national-nature-reserve,,government-organisation:PB202,TL978124,45000113
national-nature-reserve,,government-organisation:PB202,TL978124,45000114
national-nature-reserve,,government-organisation:PB202,TL978124,45000115
national-nature-reserve,,government-organisation:PB202,TL978124,45000116
national-nature-reserve,,government-organisation:PB202,TL978124,45000117
national-nature-reserve,,government-organisation:PB202,TL978124,45000118
national-nature-reserve,,government-organisation:PB202,TL978124,45000119
national-nature-reserve,,government-organisation:PB202,TL978124,45000120
national-nature-reserve,,government-organisation:PB202,TL978124,45000121
national-nature-reserve,,government-organisation:PB202,TL978124,45000122
national-nature-reserve,,government-organisation:PB202,TL978124,45000123
national-nature-reserve,,government-organisation:PB202,NY365006,45000124
national-nature-reserve,,government-organisation:PB202,SS879431,45000125
national-nature-reserve,,government-organisation:PB202,SS879431,45000126
national-nature-reserve,,government-organisation:PB202,SS862324,45000127
national-nature-reserve,,government-organisation:PB202,SS862324,45000128
national-nature-reserve,,government-organisation:PB202,SX617619,45000129
national-nature-reserve,,government-organisation:PB202,SX566890,45000130
national-nature-reserve,,government-organisation:PB202,SP707432,45000131
national-nature-reserve,,government-organisation:PB202,SU795596,45000132
national-nature-reserve,,government-organisation:PB202,TF117016,45000133
national-nature-reserve,,government-organisation:PB202,TF117016,45000134
national-nature-reserve,,government-organisation:PB202,TL751727,45000135
national-nature-reserve,,government-organisation:PB202,SO914737,45000136
national-nature-reserve,,government-organisation:PB202,SO914737,45000137
national-nature-reserve,,government-organisation:PB202,SK465153,45000138
national-nature-reserve,,government-organisation:PB202,SK465153,45000139
national-nature-reserve,,government-organisation:PB202,SK465153,45000140
national-nature-reserve,,government-organisation:PB202,SK465153,45000141
national-nature-reserve,,government-organisation:PB202,SD912727,45000142
national-nature-reserve,,government-organisation:PB202,NU168295,45000143
national-nature-reserve,,government-organisation:PB202,SP352000,45000144
national-nature-reserve,,government-organisation:PB202,NY578256,45000145
national-nature-reserve,,government-organisation:PB202,SE607829,45000146
national-nature-reserve,,government-organisation:PB202,SX614777,45000147
national-nature-reserve,,government-organisation:PB202,TL197800,45000148
national-nature-reserve,,government-organisation:PB202,TA013232,45000149
national-nature-reserve,,government-organisation:PB202,TA013232,45000150
national-nature-reserve,,government-organisation:PB202,SO978649,45000151
national-nature-reserve,,government-organisation:PB202,TL758891,45000152
national-nature-reserve,,government-organisation:PB202,TL758891,45000153
national-nature-reserve,,government-organisation:PB202,SX824440,45000154
national-nature-reserve,,government-organisation:PB202,SX824440,45000155
national-nature-reserve,,government-organisation:PB202,SX824440,45000156
national-nature-reserve,,government-organisation:PB202,SX824440,45000157
national-nature-reserve,,government-organisation:PB202,TF019002,45000158
national-nature-reserve,,government-organisation:PB202,TF019002,45000159
national-nature-reserve,,government-organisation:PB202,TM058134,45000160
national-nature-reserve,,government-organisation:PB202,TM058134,45000161
national-nature-reserve,,government-organisation:PB202,TM058134,45000162
national-nature-reserve,,government-organisation:PB202,TM058134,45000163
national-nature-reserve,,government-organisation:PB202,TM058134,45000164
national-nature-reserve,,government-organisation:PB202,TM058134,45000165
national-nature-reserve,,government-organisation:PB202,TM058134,45000166
national-nature-reserve,,government-organisation:PB202,TM058134,45000167
